X dpf_sum big_state batch_code okvs
2	31	175	46.5	340
10	160	735	240	1797
20	322	1659	483	5398
40	642	4190	963	9483
80	1297	11797	1945.5	14119
160	2618	40605	3927	29073
320	5229	146930	7843.5	61932
640	11103	640000	16654.5	130700
1280	22694	2750000	34041	297550
2560	45483	11000000	68224.5	629480
5120	93168	44000000	139752	1309400
10240	188330	176000000	282495	2774000
