X dpf_sum big_state batch_code okvs
2	48318	48376	224780	94891
10	236320	56268	261970	95075
20	473950	63595	260530	95274
40	943140	77886	213700	98288
80	1887100	116050	212850	107450
160	3775600	302800	211000	117480
320	7561700	642420	213140	124870
640	15083000	1370900	211140	129350
1280	30166000	3354263.301	214330	135210
2560	60332000	9198002.431	219890	148780
5120	120664000	28428981.41	228160	163440
10240	241328000	97064942.24	234490	172710
